chapter,block_in_chapter,markdown_start_line,section,first_nonblank_line,pedagogical_role,canonical_runtime_companion
2,1,336,Starting with `psql`,SELECT version();,setup-or-environment,chapters/ch02.sql
2,2,359,Creating the learning database,CREATE DATABASE marketledger;,setup-or-environment,chapters/ch02.sql
2,3,408,Loading the schema and seed data,SELECT COUNT(*) AS branch_count,worked-or-practice-sql,chapters/ch02.sql
2,4,478,Hands-on Lab: build an offline-ready PostgreSQL practice folder,"SELECT current_database(), current_user;",setup-or-environment,chapters/ch02.sql
4,1,776,The basic shape,SELECT column_name,worked-or-practice-sql,chapters/ch04.sql
4,2,783,The basic shape,SELECT branch_name,worked-or-practice-sql,chapters/ch04.sql
4,3,792,The basic shape,"SELECT branch_code, branch_name, city, state",worked-or-practice-sql,chapters/ch04.sql
4,4,803,Explicit columns versus SELECT *,SELECT *,worked-or-practice-sql,chapters/ch04.sql
4,5,816,Aliases,SELECT,worked-or-practice-sql,chapters/ch04.sql
4,6,826,Aliases,SELECT,worked-or-practice-sql,chapters/ch04.sql
4,7,840,Literal expressions,SELECT 2 + 3 AS result;,worked-or-practice-sql,chapters/ch04.sql
4,8,846,Literal expressions,SELECT 'MarketLedger' AS project_name;,worked-or-practice-sql,chapters/ch04.sql
4,9,858,Row order is not guaranteed,SELECT branch_name,worked-or-practice-sql,chapters/ch04.sql
4,10,867,Worked Example: a product catalogue slice,SELECT,worked-or-practice-sql,chapters/ch04.sql
4,11,893,Worked Example: a product catalogue slice,SELECT COUNT(*) AS product_count,worked-or-practice-sql,chapters/ch04.sql
4,12,904,Hands-on Lab: build and verify a small projection,SELECT,worked-or-practice-sql,chapters/ch04.sql
4,13,915,Hands-on Lab: build and verify a small projection,SELECT COUNT(*) AS branch_count,worked-or-practice-sql,chapters/ch04.sql
4,14,922,Hands-on Lab: build and verify a small projection,SELECT,worked-or-practice-sql,chapters/ch04.sql
4,15,966,Explained Solutions,"SELECT customer_id, customer_name, customer_type, city",worked-or-practice-sql,chapters/ch04.sql
4,16,973,Explained Solutions,"SELECT supplier_id, supplier_name, state",worked-or-practice-sql,chapters/ch04.sql
4,17,980,Explained Solutions,SELECT,worked-or-practice-sql,chapters/ch04.sql
5,1,1028,WHERE narrows a row source,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch05.sql
5,2,1035,WHERE narrows a row source,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch05.sql
5,3,1060,Combining conditions with AND,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch05.sql
5,4,1072,Combining conditions with AND,WHERE is_active,syntax-fragment,chapters/ch05.sql
5,5,1082,OR means alternatives,"SELECT customer_id, customer_name, state",worked-or-practice-sql,chapters/ch05.sql
5,6,1093,OR means alternatives,"SELECT customer_id, customer_name, state",worked-or-practice-sql,chapters/ch05.sql
5,7,1103,Operator precedence and parentheses,WHERE customer_type = 'business',syntax-fragment,chapters/ch05.sql
5,8,1125,Operator precedence and parentheses,"SELECT customer_id, customer_name, customer_type, state",worked-or-practice-sql,chapters/ch05.sql
5,9,1138,NOT and negative conditions,"SELECT order_number, order_date, order_status",worked-or-practice-sql,chapters/ch05.sql
5,10,1146,NOT and negative conditions,"SELECT customer_id, customer_name, state",worked-or-practice-sql,chapters/ch05.sql
5,11,1158,BETWEEN for inclusive ranges,"SELECT product_name, unit_price",worked-or-practice-sql,chapters/ch05.sql
5,12,1166,BETWEEN for inclusive ranges,WHERE unit_price >= 3000,syntax-fragment,chapters/ch05.sql
5,13,1173,BETWEEN for inclusive ranges,"SELECT order_number, order_date, order_status",worked-or-practice-sql,chapters/ch05.sql
5,14,1190,Pattern matching with LIKE,"SELECT product_id, product_name",worked-or-practice-sql,chapters/ch05.sql
5,15,1198,Pattern matching with LIKE,"SELECT product_id, product_name",worked-or-practice-sql,chapters/ch05.sql
5,16,1210,NULL-aware filtering,"SELECT customer_id, customer_name, email",worked-or-practice-sql,chapters/ch05.sql
5,17,1218,NULL-aware filtering,"SELECT customer_id, customer_name, email",worked-or-practice-sql,chapters/ch05.sql
5,18,1226,NULL-aware filtering,WHERE email = NULL,deliberately-incorrect-or-warning,chapters/ch05.sql
5,19,1236,Worked Example: completed Q1 business orders,SELECT,worked-or-practice-sql,chapters/ch05.sql
5,20,1265,Worked Example: completed Q1 business orders,SELECT COUNT(*),worked-or-practice-sql,chapters/ch05.sql
5,21,1271,Worked Example: completed Q1 business orders,SELECT COUNT(*),worked-or-practice-sql,chapters/ch05.sql
5,22,1279,Worked Example: completed Q1 business orders,SELECT COUNT(*),worked-or-practice-sql,chapters/ch05.sql
5,23,1300,Hands-on Lab: prove that Boolean grouping changes meaning,"SELECT order_number, sales_channel, order_status",worked-or-practice-sql,chapters/ch05.sql
5,24,1309,Hands-on Lab: prove that Boolean grouping changes meaning,"SELECT order_number, sales_channel, order_status",worked-or-practice-sql,chapters/ch05.sql
5,25,1354,Explained Solutions,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch05.sql
5,26,1361,Explained Solutions,"SELECT order_number, order_status",worked-or-practice-sql,chapters/ch05.sql
5,27,1367,Explained Solutions,"SELECT customer_id, customer_name",worked-or-practice-sql,chapters/ch05.sql
5,28,1375,Explained Solutions,"SELECT customer_id, customer_name, state",worked-or-practice-sql,chapters/ch05.sql
6,1,1423,ORDER BY makes order explicit,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch06.sql
6,2,1433,ORDER BY makes order explicit,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch06.sql
6,3,1445,Sorting by several expressions,"SELECT customer_id, customer_name, state, created_at",worked-or-practice-sql,chapters/ch06.sql
6,4,1457,ORDER BY can use output aliases,SELECT,worked-or-practice-sql,chapters/ch06.sql
6,5,1471,LIMIT controls the number of returned rows,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch06.sql
6,6,1482,LIMIT controls the number of returned rows,"SELECT product_id, product_name, unit_price",worked-or-practice-sql,chapters/ch06.sql
6,7,1492,OFFSET skips rows,"SELECT customer_id, customer_name, created_at",worked-or-practice-sql,chapters/ch06.sql
6,8,1508,DISTINCT removes duplicate result rows,SELECT state,worked-or-practice-sql,chapters/ch06.sql
6,9,1516,DISTINCT removes duplicate result rows,SELECT DISTINCT state,worked-or-practice-sql,chapters/ch06.sql
6,10,1525,DISTINCT removes duplicate result rows,"SELECT DISTINCT state, customer_type",worked-or-practice-sql,chapters/ch06.sql
6,11,1544,Worked Example: latest customer accounts,SELECT,worked-or-practice-sql,chapters/ch06.sql
6,12,1571,Worked Example: latest customer accounts,"SELECT customer_id, customer_name, created_at",worked-or-practice-sql,chapters/ch06.sql
6,13,1584,Hands-on Lab: make a top-N result reproducible,SELECT,worked-or-practice-sql,chapters/ch06.sql
6,14,1599,Hands-on Lab: make a top-N result reproducible,SELECT DISTINCT city,worked-or-practice-sql,chapters/ch06.sql
