movement_id,branch_id,product_id,movement_type,quantity_change,movement_date,notes
1,1,1,opening,50,2026-01-01 08:00+01,
2,1,1,sale,-2,2026-01-05 12:00+01,
3,1,6,opening,40,2026-01-01 08:00+01,
4,1,6,sale,-4,2026-01-06 16:00+01,
5,2,4,opening,10,2026-01-01 08:00+01,
6,2,4,sale,-1,2026-01-08 10:00+01,
7,3,5,opening,60,2026-01-01 08:00+01,
8,3,5,sale,-10,2026-01-12 10:00+01,
9,5,1,opening,30,2026-01-01 08:00+01,
10,5,1,sale,-5,2026-01-18 12:00+01,
11,6,11,opening,8,2026-01-01 08:00+01,
12,6,11,sale,-2,2026-03-03 14:00+01,
13,6,11,return_in,1,2026-03-06 10:00+01,Customer return received
